,Beta-decay fraction,Average beta decay energy,Beta-decay energy (keV),Half life (years),Isotope
4,1.0,5.69,14464.0,4.309579942707937e-09,134In
5,1.0,5.69,8610.0,1.6794686541435342e-09,154Ba
8,1.0,5.69,2602.0,2.7264430755190507e-06,173Er
10,1.0,5.69,9597.7522,6.147489035921616e-09,66Co
11,1.0,38.0,2917.709,0.00032226785306867445,88Kr
14,1.0,5.69,8748.5685,8.71422414885796e-09,63Mn
16,1.0,5.69,12523.3972,1.0647197505513727e-08,19N
17,1.0,5.69,2018.6123,1.0076811924861206e-05,158Sm
18,1.0,5.69,6455.6267,2.8677719471696198e-08,109Tc
22,1.0,5.69,1104.4191,0.00011921058635637691,229Ac
28,1.0,5.69,12319.3807,1.5273658326361954e-09,61V
34,1.0,5.69,2712.9729,4.49970846959211e-06,215Pb
37,1.0,60.2,1149.0844,4.182827591451821e-05,223Fr
39,1.0,5.69,3074.5667,6.654498440946079e-06,185Hf
42,1.0,5.69,4163.5021,5.989048596851471e-07,151Pr
45,1.0,3.21,45.5402,5.75,228Ra
51,1.0,5.69,7845.6026,9.31629781732451e-09,123Ag
56,1.0,5.69,5265.9197,4.753213172104342e-06,224At
58,1.0,5.69,5556.9381,4.975029786802545e-08,72Ni
59,1.0,5.69,4617.6517,6.147489035921615e-07,71Cu
62,1.0,5.69,14054.2989,3.092757370649225e-09,84Ga
67,1.0,72.0,2702.7013,2.545820974979086e-05,147Pr
69,1.0,14.1,485.8684,0.009308692676249144,166Dy
70,1.0,65.2,1830.774,0.0023859228838694958,28Mg
74,1.0,5.69,15438.0995,3.802570537683474e-10,58Sc
75,1.0,5.69,14438.1586,6.210865211549675e-10,63V
82,1.0,123.0,2470.1898,0.01469678302532512,148Pm
89,1.0,5.69,1631.0,1.787208152711233e-05,238Th
95,1.0,5.69,13839.0,7.003067406900398e-10,69Mn
101,1.0,5.69,2713.5412,8.859989352802494e-06,225Rn
102,1.0,5.69,6218.1669,2.018531193753644e-06,140Cs
105,1.0,19.1,90.8123,0.00161,93Zr
106,1.0,5.69,7203.1495,6.591122265318022e-08,77Zn
107,1.0,5.69,13250.0,7.922021953507237e-10,109Y
112,1.0,5.69,11186.0,5.13347022587269e-09,69Fe
116,1.0,5.69,10230.0,1.0507769919132e-08,75Ni
118,1.0,5.69,5411.738,3.3557684995056653e-08,96Sr
120,1.0,5.69,5481.3495,7.478388724110832e-08,125In
124,1.0,5.69,4970.2419,1.0362004715187467e-06,53Ti
126,1.0,5.69,8089.9214,1.1090830734910133e-08,57V
129,1.0,5.69,8692.8893,5.862296245595356e-08,83Ge
131,1.0,5.69,5129.086,4.5313965574061396e-07,86Se
132,1.0,5.69,4947.8903,4.262047810986893e-07,50Ca
133,1.0,5.69,3993.6241,1.80622100539965e-07,76Zn
134,1.0,47.0,2944.2864,0.0014099931553730322,130I
139,1.0,60.0,2634.1851,0.0007506274241387178,135I
140,1.0,5.69,8584.4751,6.0207366846655e-09,119Rh
143,1.0,5.69,18193.5414,2.5984232007503733e-10,26F
146,1.0,5.69,8049.6228,4.3412680305219664e-08,133Sn
149,1.0,205.0,1307.5659,1.581869343676325e-05,206Hg
154,1.0,5.69,8205.7585,4.848277435546429e-08,126In
166,1.0,5.69,7689.6824,4.480695616903693e-08,148La
167,1.0,5.69,11769.0,2.661799376378432e-09,156La
173,1.0,5.69,10155.0,5.767231982153269e-09,139Sb
174,1.0,5.69,5696.0,3.01036834233275e-07,220Bi
177,1.0,71.0,2824.6411,2.7777777777777776e-05,101Mo
179,1.0,5.69,6050.3894,6.0207366846655e-07,135Te
188,1.0,5.69,921.2477,7.091794052779678e-05,236Th
189,1.0,195.8,545.9674,28.91,90Sr
192,1.0,28.3,1366.1041,6.875579892006995e-05,211Pb
197,1.0,5.69,12812.6089,3.105432605774837e-09,131Cd
203,1.0,5.69,2660.0,4.753213172104342e-06,201Pt
206,1.0,5.69,10225.687,8.650847973229903e-09,130In
208,1.0,5.69,14289.0,2.3195680279869193e-09,81Cu
210,1.0,5.69,10888.0,3.01036834233275e-09,105Y
212,1.0,5.69,7503.7365,6.4041625472152505e-09,100Sr
214,1.0,5.69,10990.3608,3.0420564301467792e-09,55Sc
217,1.0,5.69,11120.0,4.753213172104343e-10,124Ru
218,1.0,5.69,3396.3337,3.9926990645676475e-06,75Ga
219,1.0,5.69,9084.862,6.134813800796004e-09,111Mo
224,1.0,5.69,7623.5438,2.2181661469820265e-08,109Mo
226,1.0,5.69,2610.2694,1.793862651152179e-05,27Mg
227,1.0,5.69,9380.2388,1.863259563464902e-08,140I
229,1.0,5.69,13680.0,8.397343270717671e-10,75Co
230,1.0,5.69,2089.4348,9.506426344208685e-07,234Ra
233,1.0,5.69,6003.121,5.830608157781327e-08,92Kr
242,1.0,229.0,1340.0,0.0004699977184576774,184Hf
247,1.0,127.0,1420.0,3.194159251654118e-05,251Cm
248,1.0,5.69,8138.6978,1.5210282150733896e-08,127Cd
250,1.0,5.69,7461.7591,1.844246710776485e-08,145Cs
255,1.0,5.69,3207.1628,2.1547899713539685e-06,163Gd
256,1.0,27.8,251.9612,4.742,155Eu
263,1.0,5.69,10099.0,7.922021953507237e-10,122Ru
267,1.0,5.69,11806.0982,2.915304078890663e-09,18C
268,1.0,5.69,11796.0,3.802570537683474e-10,100Kr
269,1.0,13.96,76.6182,94.6,151Sm
270,1.0,49.47,156.4765,5700.0,14C
279,1.0,5.69,13369.6698,2.5350470251223157e-09,25F
280,1.0,5.69,2155.6519,1.1027454559282074e-05,197Ir
283,1.0,73.9,1141.9038,0.0034029203741729407,193Os
286,1.0,5.69,1626.5384,1.1293634496919918e-05,56Cr
288,1.0,5.69,3001.1457,7.129819758156514e-06,107Ru
289,1.0,5.69,7238.7734,1.112251882272416e-08,140Te
298,1.0,5.69,2028.073,1.9393109742185715e-05,213Pb
300,1.0,5.69,4300.0,1.2136537632773086e-06,204Au
302,1.0,5.69,2419.0,1.5210282150733895e-05,179Yb
303,1.0,5.69,10065.7253,1.568560346794433e-08,85Ge
310,1.0,590.0,3901.0,1.996349532283824e-05,186Ta
314,1.0,5.69,3484.7131,4.277891854893908e-06,208Hg
324,1.0,5.69,9866.6724,1.7206631683017717e-08,91Br
326,1.0,5.69,6170.1238,1.3911070550358708e-08,160Nd
332,1.0,245.0,1454.7073,8.213552361396305e-05,117In
333,1.0,5.69,13184.0,5.1651583136867184e-09,133In
334,1.0,5.69,6489.6562,7.129819758156513e-08,22O
336,1.0,5.69,7482.0816,2.566735112936345e-06,40Cl
338,1.0,5.69,8899.0,6.33761756280579e-09,168Eu
344,1.0,5.69,9850.0,3.2004968692169236e-09,155La
347,1.0,5.69,6404.6947,3.137120693588866e-07,146La
349,1.0,5.69,10270.4677,2.5477222602479276e-09,32Mg
350,1.0,5.69,8445.2283,8.872664587928105e-09,60Mn
351,1.0,5.69,9140.0,4.6898369964762845e-09,138Sn
354,1.0,5.69,2292.9057,3.029381195021167e-06,74Zn
358,1.0,5.69,8337.0,1.1249271173980277e-08,136Sn
359,1.0,5.69,10987.704,7.034755494714426e-10,60Ti
361,1.0,5.69,1242.232,4.1505057418815115e-05,233Th
365,1.0,30.2,764.5378,0.1074469541409993,103Ru
367,1.0,5.69,11708.3636,6.800263644890612e-10,12Be
375,1.0,5.69,9690.0,9.094481202626308e-09,152La
376,1.0,5.69,5925.6639,4.246203767079879e-08,103Nb
380,1.0,97.1,431.1764,0.2056125941136208,185W
382,1.0,5.69,10920.0,6.65449844094608e-10,118Mo
384,1.0,5.69,1859.2451,2.0597257079118815e-06,228Rn
388,1.0,5.69,5796.6788,8.017086216949322e-08,165Eu
390,1.0,5.69,8343.9631,7.3041042411336724e-09,147Cs
393,1.0,5.69,6261.6865,5.7101934240880165e-08,143Cs
395,1.0,5.69,6027.1455,7.646335589525184e-07,137I
396,1.0,5.69,12264.0,1.7111567419575631e-09,84Zn
401,1.0,111.8,2366.626,0.22931416837782342,46Sc
404,1.0,5.69,1912.0559,9.98174766141912e-06,153Pm
414,1.0,5.69,2765.0,0.0002053388090349076,239Pa
415,1.0,5.69,720.0,0.00016160924785154764,255Cf
416,1.0,5.69,7622.0,3.92932288893959e-08,166Eu
422,1.0,5.69,10560.0,1.901285268841737e-09,125Pd
425,1.0,5.69,4556.7647,7.922021953507237e-07,115Pd
427,1.0,5.69,17320.0,4.753213172104343e-10,64V
429,1.0,5.69,3505.7517,2.3861130123963798e-06,94Sr
433,1.0,5.69,11350.0,1.410119907724288e-09,117Tc
434,1.0,5.69,2229.5607,4.479428093391132e-05,111Pd
436,1.0,5.69,10320.0,1.6034172433898649e-09,104Sr
438,1.0,23.0,1261.8237,4.943341698988516e-05,201Au
441,1.0,5.69,6844.8422,6.806601262453418e-07,45Ar
444,1.0,5.69,16994.0653,1.7026009582477753e-09,34Al
452,1.0,174.32,1175.6285,30.04,137Cs
454,1.0,5.69,10371.9409,1.023525236393135e-08,112Tc
455,1.0,5.69,4385.6489,1.955155018125586e-07,123In
456,1.0,82.0,1007.7049,0.0027720739219712527,189Re
458,1.0,5.69,3080.0,1.026694045174538e-05,174Tm
460,1.0,5.69,21846.3983,1.964661444469795e-10,22C
462,1.0,5.69,11428.2924,9.487413491520266e-09,81Zn
470,1.0,72.0,2385.0,2.88995360863944e-05,175Tm
472,1.0,5.69,6080.0,1.1724592491190711e-07,174Ho
478,1.0,5.69,2846.5103,3.1212766496818513e-06,217Bi
487,1.0,104.6,1532.2128,7.989200699672978e-06,206Tl
489,1.0,143.9,5312.6243,3.3804852080006085e-05,88Rb
492,1.0,81.7,282.2749,49700000000.0,87Rb
496,1.0,5.69,5255.141,7.87132101300479e-07,141Cs
498,1.0,159.4,3988.8685,0.004981747661419119,48Sc
499,1.0,5.69,8975.3282,5.17783354881233e-07,88Br
502,1.0,64.0,2377.0,7.415012548482774e-05,246Am
503,1.0,5.69,4440.1115,9.791619134534943e-07,68Cu
505,1.0,5.69,14170.0,9.506426344208685e-10,108Y
506,1.0,7.42,1373.5226,0.007377522245037646,198Au
507,1.0,286.8,3888.2706,0.00014506806601262453,87Kr
509,1.0,5.69,13022.1957,6.971379319086369e-10,57Sc
512,1.0,5.69,9381.8471,1.4608208482267345e-08,53Ca
514,1.0,5.69,13410.0,1.2041473369331e-09,112Nb
523,1.0,5.69,6052.0,3.485689659543184e-07,202Ir
526,1.0,5.69,5582.2823,1.3942758638172737e-06,144La
528,1.0,5.69,3864.0868,5.577103455269096e-07,231Fr
529,1.0,5.69,2700.0,4.182827591451822e-06,242Np
530,1.0,31.2,1992.177,0.01241889117043121,47Ca
532,1.0,189.0,1502.1757,0.13843394934976044,89Sr
536,1.0,145.9,2045.0163,20400.0,94Nb
537,1.0,65.0,904.363,0.00012196744999619743,249Cm
538,1.0,130.0,1327.9489,8.02342383451213e-05,227Ra
540,1.0,5.69,10616.7652,5.63731082211575e-09,82Zn
544,1.0,5.69,11620.919,3.834258625497503e-09,114Tc
548,1.0,159.0,1949.1237,0.0002978553502167465,92Sr
554,1.0,5.69,4141.3118,1.4126549547494104e-05,93Sr
555,1.0,5.69,10660.0,1.869597181027708e-09,151Cs
560,1.0,68.8,227.1872,157.0,32Si
561,1.0,5.69,8106.2003,1.3499125408776333e-08,101Y
563,1.0,5.69,11542.0,2.978680254518721e-09,144I
564,1.0,5.69,3209.0164,1.6477805663295053e-06,196Ir
567,1.0,5.69,10818.0916,1.3404061145334246e-07,22F
568,1.0,5.69,9918.3897,2.924810505234872e-08,136Sb
571,1.0,5.69,3988.4006,1.4988465536035691e-06,35P
576,1.0,158.0,1417.5323,9.069130732375084e-06,207Tl
578,1.0,5.69,12016.946,1.3137881207696402e-09,33Al
580,1.0,202.64,556.8759,0.001387,10Be
582,1.0,5.69,8261.5231,1.3806499860572412e-07,89Br
605,1.0,5.69,5823.0223,1.958323826906989e-07,33Si
606,1.0,5.69,13821.0986,3.8659467133115315e-09,60V
607,1.0,5.69,15368.1833,5.323598752756863e-10,31Na
609,1.0,5.69,7671.3532,6.527746089689964e-09,62Cr
611,1.0,56.6,1285.7287,0.0002660278348163358,165Dy
612,1.0,5.69,8788.9322,4.018049534818871e-09,130Cd
613,1.0,5.69,8561.0867,5.957360509037442e-09,145Xe
615,1.0,5.69,3576.8654,6.654498440946078e-07,67Ni
616,1.0,5.69,10249.0,1.3562501584404389e-09,98Kr
621,1.0,5.69,2576.395,4.531396557406139e-06,233Ac
623,1.0,5.69,8535.7155,1.597079625827059e-08,150La
624,1.0,5.69,5575.8791,1.742844829771592e-07,232Fr
625,1.0,5.69,3724.0,1.0773949856769841e-07,172Dy
630,1.0,5.69,2770.0,3.263873044844982e-07,204Pt
631,1.0,159.0,4208.9819,0.00017244657388394555,78As
632,1.0,5.69,13490.0,8.872664587928106e-10,127Rh
634,1.0,5.69,9051.4949,2.978680254518721e-08,100Y
638,1.0,5.69,1533.0836,9.772606281846527e-06,205Hg
640,1.0,5.69,9353.7631,2.2587268993839833e-09,26Na
645,1.0,5.69,12005.458,3.4856896595431844e-10,56Ca
652,1.0,59.0,3192.059,0.0026637006616472736,96Nb
657,1.0,5.69,6520.0,6.97137931908637e-08,192Ta
658,1.0,5.69,2687.0,8.207214743833496e-07,154Nd
659,1.0,5.69,1785.1041,3.707506274241387e-05,163Tb
668,1.0,5.69,7194.0221,3.219509721905341e-08,42S
669,1.0,5.69,7024.4689,3.487654320987654e-07,20F
671,1.0,5.69,9512.9152,1.7428448297715922e-09,58Ti
672,1.0,61.96,224.0638,2.6234,147Pm
673,1.0,5.69,2044.8311,1.8632595634649022e-05,191Re
679,1.0,148.0,3197.3515,3.4736481861738533e-05,141Ba
682,1.0,389.0,1161.1549,0.01372210814510609,210Bi
683,1.0,170.1,3673.178,4.230359723172865e-05,83Se
688,1.0,5.69,9257.0,6.115800948107587e-09,141Te
691,1.0,5.69,526.5277,9.563464902273936e-05,118Cd
700,1.0,5.69,1620.0,4.372956118335995e-05,247Am
706,1.0,5.69,11305.8789,1.6667934190179228e-08,54Sc
715,1.0,59.4,515.3046,0.008772073921971253,132Te
721,1.0,5.69,7306.0,1.6088042183182497e-08,74Ni
727,1.0,55.8,150.6016,327000.0,79Se
730,1.0,5.69,6340.6944,1.4798337009151519e-08,66Fe
733,1.0,5.69,22684.4422,1.6097548609526705e-10,17B
734,1.0,5.69,11828.5569,8.555783709787816e-09,31Mg
735,1.0,5.69,6659.0,2.741019595913504e-08,153Ce
739,1.0,5.69,9110.0,2.9469921667046923e-09,144Te
741,1.0,42.3,569.0133,0.0012122975131188683,212Pb
742,1.0,87.8,2960.5756,0.002993292265571526,76As
743,1.0,5.69,9712.7471,4.658148908662255e-09,129Cd
749,1.0,46.0,1786.2812,0.0023762263289984027,133I
753,1.0,5.69,4293.475,4.879965523360458e-07,192Re
755,1.0,5.69,12239.6512,2.0280376200978526e-08,38P
756,1.0,5.69,8930.0,1.5400410677618068e-09,126Pd
757,1.0,5.69,1500.8333,1.654118183892311e-05,168Dy
759,1.0,5.69,12978.3208,1.0330316627373438e-09,32Al
762,1.0,5.69,14248.0,1.3942758638172737e-09,79Ni
763,1.0,5.69,7633.4147,1.746013638552995e-06,86Br
764,1.0,5.69,10690.0,5.101782138058661e-09,154La
765,1.0,5.69,2171.0426,1.4487793748574035e-05,215Bi
769,1.0,5.69,13606.4541,5.646817248459958e-09,9Li
773,1.0,5.69,13861.3774,1.4956777448221663e-08,50K
774,1.0,44.0,2810.3405,4.563084645220168e-06,71Zn
777,1.0,3.6,96.6,6.0,194Os
782,1.0,5.69,2958.9765,1.660455801455117e-07,122Cd
786,1.0,242.0,3575.4729,0.00026180698151950717,132I
792,1.0,5.69,3103.0,1.08373260323979e-05,180Lu
797,1.0,516.0,2366.3263,4.563084645220168e-06,119In
799,1.0,5.69,11204.0998,6.3693056506198185e-09,108Nb
802,1.0,5.69,2137.4905,1.654118183892311e-05,237Pa
806,1.0,5.69,3023.4392,4.011711917256065e-06,165Tb
811,1.0,5.69,6982.744,1.0045123837047176e-08,30Mg
812,1.0,5.69,1955.6357,6.932086090196973e-06,161Gd
813,1.0,5.69,3418.5098,2.249854234796055e-07,100Zr
816,1.0,5.69,13895.9838,1.9621263974446726e-08,18N
817,1.0,36.0,1017.7611,5.1448779374857396e-05,214Pb
821,1.0,5.69,2546.3427,2.1547899713539685e-06,62Fe
823,1.0,23.0,399.2685,0.0016084873374401095,240U
825,1.0,5.69,4865.1258,9.601490607650771e-06,37S
828,1.0,5.69,5193.8878,8.682536061043931e-07,156Pm
829,1.0,5.69,4063.2768,4.3095799427079365e-07,140Xe
832,1.0,5.69,15719.8092,4.658148908662255e-10,29Ne
839,1.0,5.69,3530.0,6.30592947499176e-07,217Pb
846,1.0,5.69,18935.5625,1.0773949856769842e-10,31Ne
850,1.0,73.6,3695.4973,0.00029419347478895733,56Mn
851,1.0,5.69,4581.0714,1.7111567419575632e-06,222At
853,1.0,5.69,4406.3133,1.0241589981494156e-06,90Kr
855,1.0,5.69,3659.0,2.281542322610084e-06,175Er
861,1.0,5.69,1370.1184,4.639136055973838e-05,235Pa
862,1.0,137.0,1509.6875,7.94737242375846e-05,134Te
863,1.0,5.69,12450.0,6.971379319086369e-10,117Mo
869,1.0,5.69,4961.2946,6.686186528760108e-07,57Cr
870,1.0,18.7,470.1219,0.011457905544147842,175Yb
875,1.0,5.69,5777.2167,2.978680254518721e-07,168Tb
876,1.0,5.69,13670.0,7.288260197226658e-10,115Nb
878,1.0,5.69,11563.897,6.385149694526833e-09,96Rb
879,1.0,5.69,12130.0,8.397343270717671e-10,125Rh
880,1.0,5.69,6299.0,2.535047025122316e-08,166Sm
881,1.0,33.0,2524.6381,0.0002855350216746521,117Cd
882,1.0,5.69,13990.0,9.823307222348974e-10,129Pd
884,1.0,5.69,2051.0,3.5173777473572135e-06,243Np
886,1.0,5.69,599.3527,32.9,42Ar
887,1.0,5.69,12225.9002,2.376606586052171e-09,110Nb
888,1.0,266.6,2997.44,3.285420944558522e-05,144Pr
889,1.0,5.69,262.6897,0.0024001825233858085,112Pd
894,1.0,5.69,12480.0,7.605141075366948e-10,111Zr
901,1.0,5.69,6868.4609,4.658148908662255e-08,155Pr
902,1.0,5.69,15440.0,4.753213172104343e-10,77Co
903,1.0,5.69,813.0,0.02108145106091718,257Es
905,1.0,277.0,2308.4632,0.00015767358734504526,139Ba
907,1.0,25.3,807.4073,0.005280013689253935,153Sm
909,1.0,5.69,14922.0,2.1547899713539683e-09,45S
910,1.0,5.69,3687.3192,1.2472431363601794e-05,29Al
913,1.0,5.69,2605.5435,6.654498440946079e-06,181Lu
915,1.0,232.5,1776.0972,0.05104722792607803,86Rb
917,1.0,5.69,6585.3721,5.006717874616574e-06,90Rb
920,1.0,5.69,3206.4401,4.898978376048876e-07,100Tc
922,1.0,350.0,1261.6634,4.458513955433873e-05,239U
925,1.0,5.69,8220.4934,9.189545466068395e-09,121Pd
926,1.0,5.69,13907.147,8.238902831647526e-10,56Sc
927,1.0,5.69,15200.0,2.7251755520064897e-09,136In
937,1.0,5.69,1827.5584,7.510076811924861e-06,225Fr
940,1.0,10.03,39.4038,1.0179329226557152,106Ru
943,1.0,5.69,15094.9874,1.3055492179379927e-09,39Si
944,1.0,5.69,9406.8875,4.7849012599183715e-09,117Ru
945,1.0,5.69,3850.0,6.33761756280579e-07,189Ta
946,1.0,5.69,7147.8469,1.1914721018074883e-07,118Ag
948,1.0,5.69,11177.0,1.6794686541435342e-09,103Sr
952,1.0,5.69,16584.0,1.0773949856769842e-09,82Cu
954,1.0,5.69,9555.8882,1.019088904099171e-08,146Cs
955,1.0,5.69,14720.0,6.65449844094608e-10,120Tc
960,1.0,5.69,1598.8278,1.597079625827059e-05,162Gd
967,1.0,5.69,12440.0,1.0140188100489263e-09,113Nb
968,1.0,46.0,1190.2198,0.0032397900981063197,151Pm
971,1.0,5.69,14462.0,1.109083073491013e-09,131Ag
973,1.0,5.69,4236.479,2.3322432631125302e-06,117Ag
988,1.0,5.69,5688.0,8.365655182903642e-07,211Hg
989,1.0,5.69,6760.4051,6.33761756280579e-09,56Ti
996,1.0,4.16,63.4758,22.2,210Pb
1002,1.0,5.69,10466.3291,2.4716708494942578e-08,35Si
1003,1.0,5.69,3682.0153,3.485689659543184e-07,111Rh
1008,1.0,5.69,7327.7007,5.345780414226684e-08,142Cs
1009,1.0,5.69,7389.301,1.1059142647096103e-08,149Ba
1015,1.0,5.69,12028.0,3.263873044844982e-09,87Ge
1018,1.0,5.69,5175.0,1.5844043907014474e-07,194Re
1021,1.0,5.69,6283.9149,4.626460820848226e-08,138Te
1022,1.0,5.69,7914.7191,1.4734960833523461e-08,151La
1026,1.0,68.0,2375.5,0.0004980606890257813,129Sb
1027,1.0,12.3,579.5559,0.0005652863335614876,243Pu
1029,1.0,18.4,401.0,0.029678302532511976,246Pu
1032,1.0,5.69,2242.8547,9.728242958906886e-07,98Zr
1037,1.0,5.69,3508.5089,7.833295307627956e-06,152Pm
1041,1.0,5.69,14429.7751,1.235835424747129e-10,36Mg
1042,1.0,5.69,7640.0,8.080462392577381e-09,163Pm
1045,1.0,5.69,11508.2568,1.3087180267193955e-08,45Cl
1047,1.0,5.69,2518.4717,3.441326336603544e-05,159Eu
1054,1.0,5.69,9116.0536,2.3639313509265594e-08,79Zn
1060,1.0,5.69,8439.3084,7.066443582528455e-08,23F
1061,1.0,5.69,5371.9076,1.5590539204502244e-08,120Pd
1066,1.0,5.69,13080.0,6.971379319086369e-10,121Tc
1068,1.0,181.0,4591.3681,9.062793114812278e-08,98Nb
1073,1.0,5.69,5107.3505,1.330899688189216e-07,167Gd
1074,1.0,694.9,1710.6608,0.039066392881587954,32P
1076,1.0,5.69,4168.342,3.9610109767536186e-08,124Cd
1078,1.0,5.69,7306.5921,9.506426344208684e-09,64Co
1080,1.0,150.0,3544.8865,9.528608005678505e-07,106Rh
1083,1.0,1.91,1544.271,0.16019164955509924,91Y
1084,1.0,5.69,3721.7197,5.114457373184272e-06,119Cd
1085,1.0,5.69,6204.9921,1.1090830734910131e-07,107Mo
1086,1.0,107.0,1508.9427,4.125789033386569e-05,107Rh
1090,1.0,69.36,970.8477,0.0219709787816564,131I
1093,1.0,5.69,10408.7856,1.1407711613050421e-08,102Y
1095,1.0,70.8,4917.8589,3.555403452734048e-05,94Y
1108,1.0,494.0,5596.7945,3.4793520419803785e-05,104Tc
1109,1.0,5.69,6327.7027,9.506426344208684e-08,58Mn
1112,1.0,8.2,1853.8057,0.0030586356376910793,166Ho
1118,1.0,54.0,2263.1737,9.202220701194007e-05,200Au
1119,1.0,5.69,8514.7483,2.135777118665551e-08,134Sb
1127,1.0,5.69,3437.8515,1.6160924785154763e-07,166Gd
1131,1.0,5.69,12967.0,3.168808781402895e-09,83Zn
1132,1.0,5.69,9910.0,3.872284330874337e-09,78Ni
1139,1.0,5.69,1835.3638,6.198189976424062e-06,84Se
1146,1.0,9.3,34.0458,0.006500000000000001,107Pd
1159,1.0,5.69,9926.375,1.4902907698937814e-08,77Cu
1160,1.0,201.0,1613.52,2.70362765229295e-05,101Tc
1162,1.0,5.69,10958.9533,6.052424772479528e-08,90Br
1163,1.0,5.69,11490.0,6.65449844094608e-10,106Sr
1166,1.0,5.69,7779.0,3.961010976753618e-09,112Mo
1167,1.0,5.69,4970.4627,6.05242477247953e-07,230Fr
1168,1.0,5.69,7409.3977,1.5844043907014474e-09,59Cr
1170,1.0,5.69,11638.0,6.242553299363703e-09,104Y
1178,1.0,5.69,7575.0553,1.7815042969047075e-08,80Zn
1181,1.0,5.69,4252.43,4.5801962126397444e-05,146Pr
1183,1.0,5.69,6498.7491,9.252921641696453e-09,110Mo
1185,1.0,68.7,1491.5071,0.00029880599285116735,31Si
1191,1.0,5.69,1872.0266,7.605141075366948e-06,229Ra
1192,1.0,5.69,5554.6233,5.5771034552690945e-08,151Ce
1194,1.0,44.5,683.1627,0.004425051334702258,77As
1198,1.0,5.69,3336.1617,4.296904707582325e-06,149Pr
1200,1.0,31.8,1781.6696,0.00036641569701117955,250Bk
