,Isotope,Decay Energy (keV),Half-life (seconds)
694,127Sn,1826.67,4.519999999999999e-06
695,127Sn,1930.97,1.1899999999999998e-06
696,127Sn,2552.4,2.5e-07
697,127Sb,1920.19,1.1e-05
698,127Sb,2194.4,1.4000000000000001e-08
699,127Sb,2325.2,2.34e-07
700,127Te,88.23,9167040.0
701,127Xe,297.1,69.2
702,127Xe,342.23,3.6700000000000004e-08
703,127Xe,2729.97,2.5000000000000002e-08
704,127Cs,66.09,2.4880000000000002e-08
705,127Cs,452.23,5.4999999999999995e-05
706,127Ba,80.32,1.93
707,127Ba,81.29,7.500000000000001e-08
708,127La,14.2,222.0
709,127Ce,7.3,28.6
710,127Ce,36.8,9.999999999999999e-06
711,128Cd,1870.5,2.7e-07
712,128Cd,2108.3,1.2000000000000002e-08
713,128Cd,2714.6,3.56e-06
714,128In,247.9,2.3e-05
715,128In,340.0,0.72
716,128Sn,2091.5,6.5
717,128Sn,2491.91,2.8099999999999998e-06
718,128Sn,4099.5,2.2e-07
719,128Te,2788.9,2.3600000000000002e-07
720,128I,133.6106,1.2300000000000001e-08
721,128I,137.85,8.45e-07
722,128I,167.367,1.7500000000000002e-07
723,128Xe,2786.4,7.3e-08
724,129Cd,1940.0,0.0036000000000000003
725,129In,451.0,1.23
726,129In,1630.0,0.67
727,129In,1687.97,8.7e-06
728,129In,1911.0,0.11
729,129Sn,35.15,414.0
730,129Sn,1761.6,3.3999999999999996e-06
731,129Sn,1802.6,2.22e-06
732,129Sn,2552.9,2.1700000000000002e-07
733,129Sb,1851.31,1062.0
734,129Sb,1861.06,2.2e-06
735,129Sb,2137.4,1.1e-06
736,129Te,105.51,2903040.0
737,129Te,2137.83,3.3000000000000004e-08
738,129I,27.793,1.68e-08
739,129Xe,236.14,767232.0000000001
740,129Cs,6.545,7.200000000000001e-08
741,129Cs,575.4,7.179999999999999e-07
742,129Ba,8.42,7685.999999999999
743,129Ba,182.04,1.52e-08
744,129Ba,2462.6,4.7000000000000004e-08
745,129La,172.33,0.56
746,129Ce,107.6,6.000000000000001e-08
747,130Cd,2129.6,2.48e-07
748,130In,50.0,0.54
749,130In,388.5,5.25e-06
750,130In,400.0,0.54
751,130Sn,1946.88,102.0
752,130Sn,2084.84,5.2e-08
753,130Sn,2434.79,1.501e-06
754,130Sb,4.8,378.0
755,130Sb,84.7,8e-07
756,130Sb,1544.7,1.8e-06
757,130Te,2146.41,1.1e-07
758,130Te,2664.7,1.8999999999999998e-06
759,130Te,4373.9,5.3000000000000005e-08
760,130I,39.9525,530.4
761,130I,69.5865,1.33e-07
762,130I,82.396,3.15e-07
763,130I,85.1099,2.54e-07
764,130Cs,163.25,207.6
765,130Ba,2475.12,0.0094
766,130La,110.44,1.7e-08
767,130La,131.01,7.7e-08
768,130La,214.0,7.599999999999999e-07
769,130La,319.1,3.3000000000000004e-08
770,130Ce,2453.6,1.0000000000000001e-07
771,131In,365.0,0.35
772,131In,3764.0,0.32
773,131In,3783.6,6.85e-07
774,131Sb,1676.06,9.099999999999999e-05
775,131Sb,1687.2,4.2999999999999995e-06
776,131Sb,2165.6,1.1e-06
777,131Te,182.258,116927.99999999999
778,131Te,1940.0,0.093
779,131I,1918.4,2.4e-05
780,131I,2350.3,4.2000000000000006e-08
781,131I,4307.4,2.5000000000000002e-08
782,131Xe,163.93,1022976.0
783,131Xe,1805.3,1.4000000000000001e-08
784,131Cs,775.28,1.046e-08
785,131Ba,187.995,855.6
786,131La,304.6,0.00016999999999999999
787,131La,2121.8,3.8e-08
788,131Ce,63.09,324.0
789,131Ce,161.98,8.800000000000001e-08
790,131Pr,152.4,5.73
791,131Nd,210.8,5.0000000000000004e-08
792,132Sn,4715.91,2.01e-08
793,132Sn,4848.52,2.088e-06
794,132Sb,85.55,1.562e-08
795,132Sb,254.5,1.02e-07
796,132Te,1774.8,1.4500000000000001e-07
797,132Te,1925.47,2.81e-05
798,132Te,2723.3,3.7e-06
799,132I,120.0,4993.2
800,132Xe,2214.01,8.700000000000001e-08
801,132Xe,2752.21,0.00839
802,132La,188.2,1458.0
803,132Ce,2341.15,0.0094
804,133In,330.0,0.18
805,133Sb,4560.0,1.6539999999999997e-05
806,133Te,334.26,3324.0
807,133Te,1610.4,1.0000000000000001e-07
808,133I,1634.148,9.0
809,133I,1729.137,1.7000000000000001e-07
810,133I,2435.0,7.799999999999999e-07
811,133I,2493.7,4.6900000000000003e-07
812,133Xe,233.221,189907.19999999998
813,133Ba,288.252,140148.0
814,133La,535.595,6.2e-08
815,133Ce,37.2,19173.6
816,133Pr,192.12,1.1
817,133Nd,127.97,70.0
818,133Nd,176.1,2.91e-07
819,133Nd,353.62,4.6e-08
820,134Sn,1246.3,8.599999999999999e-08
821,134Sb,279.0,10.07
822,134Te,1691.34,1.641e-07
823,134Te,5804.0,1.8000000000000002e-08
824,134I,316.49,211.2
825,134Xe,1965.5,0.29
826,134Xe,3025.2,4.9999999999999996e-06
827,134Cs,11.2442,4.660000000000001e-08
828,134Cs,138.7441,10483.199999999999
829,134Cs,176.4044,4.970000000000001e-08
830,134Cs,257.1075,1.2300000000000001e-08
831,134Ba,1986.35,5.2e-08
832,134Ba,2957.2,2.63e-06
833,134Ce,3208.6,3.08e-07
834,134Pr,67.7,660.0
835,134Nd,2293.0,0.00041
836,135Sb,1342.3,2e-08
837,135Te,1554.89,5.11e-07
838,135Xe,526.551,917.4
839,135Cs,1632.9,3180.0
840,135Ba,268.218,103320.0
841,135La,2738.43,2.84e-08
842,135Ce,445.81,20.0
843,135Pr,358.06,0.00010499999999999999
844,135Nd,64.95,330.0
845,136Sn,1295.0,4.6e-08
846,136Sb,278.4,5.3e-07
847,136I,201.0,46.9
848,136Xe,1891.703,2.95e-06
849,136Cs,517.9,17.5
850,136Ba,2030.466,0.3084
851,136Ba,3356.78,9.100000000000001e-08
852,136La,259.3,0.114
853,136La,270.14,1.7e-08
854,136La,2520.4,1.8700000000000002e-07
855,136Ce,3095.5,2.2e-06
856,136Pr,594.62,9.170000000000001e-08
857,136Sm,2264.7,1.4999999999999999e-05
858,137Xe,1935.2,1.01e-08
859,137Ba,661.659,153.12
860,137Ba,2349.1,5.9e-07
861,137La,10.59,8.9e-08
862,137La,1869.5,3.42e-07
863,137Ce,254.29,125279.99999999999
864,137Pr,561.22,2.66e-06
865,137Nd,519.43,1.6
866,138Sn,1344.0,2.1e-07
867,138Cs,79.9,174.60000000000002
868,138Ba,2090.54,8e-07
869,138La,72.57,1.16e-07
870,138La,739.2,2e-06
871,138Ce,2129.17,0.00865
872,138Ce,3539.1,8.100000000000001e-08
873,138Pr,364.0,7632.0
874,138Nd,3174.9,3.7e-07
875,138Pm,20.0,194.4
876,138Gd,2233.1,6.2e-06
877,139La,1799.9,3.15e-07
878,139Ce,754.24,57.58
879,139Ce,2631.0,7e-08
880,139Pr,821.98,4.34e-08
881,139Nd,231.15,19800.0
882,139Nd,2616.0,2.7800000000000003e-07
883,139Pm,188.7,0.18
884,139Sm,457.4,10.7
885,139Eu,148.2,9.999999999999999e-06
886,140Cs,13.931,4.71e-07
887,140Ce,2107.86,7.2999999999999996e-06
888,140Ce,3715.3,2.3100000000000002e-08
889,140Pr,127.8,3.5e-07
890,140Pr,763.7,3.0499999999999996e-06
891,140Nd,2221.4,0.0006
892,140Nd,3621.2,2.2000000000000002e-08
893,140Nd,7431.3,1.2e-06
894,140Sm,3172.1,1.94e-08
895,140Sm,3652.8,1.52e-08
896,140Dy,2166.1,7e-06
897,141Cs,69.05,2.3300000000000003e-08
898,141Nd,756.51,62.0
899,141Pm,628.62,6.3e-07
900,141Pm,2349.52,5.4e-08
901,141Pm,2530.75,2e-06
902,141Pm,2574.4,2e-06
903,141Sm,175.9,1356.0
904,141Eu,96.45,2.7
905,141Gd,377.76,24.5
906,141Ho,66.0,7.2999999999999996e-06
907,142La,145.82,8.699999999999999e-07
908,142Pr,3.694,876.0
909,142Pr,911.4,6.1e-08
910,142Nd,2100.787,2.8000000000000003e-08
911,142Nd,2209.303,1.6499999999999998e-05
912,142Pm,449.47,1.6500000000000002e-08
913,142Pm,883.17,0.002
914,142Pm,2828.7,6.7e-05
915,142Sm,2372.1,1.421e-07
916,142Sm,3662.2,4.800000000000001e-07
917,142Sm,6657.9,4.16e-08
918,142Tb,279.7,0.303
919,142Tb,652.1,2.6e-05
920,143Nd,8987.7,3.5e-08
921,143Pm,959.73,2.4000000000000003e-08
922,143Pm,1898.36,1.0500000000000001e-08
923,143Sm,753.99,66.0
924,143Sm,2793.8,0.03
925,143Eu,389.51,4.9999999999999996e-05
926,143Gd,152.6,110.0
927,143Dy,310.7,3.0
928,143Dy,405.7,1.2e-06
929,144Cs,92.2,1.1e-06
930,144Pr,59.03,432.0
931,144Pm,840.9,7.799999999999999e-07
932,144Pm,8595.8,2.7e-06
933,144Sm,2323.6,8.8e-07
934,144Eu,926.0,2.7800000000000004e-08
935,144Eu,1127.6,1e-06
936,144Gd,2471.6,1.3e-08
937,144Gd,3433.1,1.4500000000000001e-07
938,144Tb,396.9,4.25
939,144Tb,476.2,2.8e-06
940,144Tb,517.1,6.7e-07
941,145Ce,64.3,1.3e-08
942,145Nd,67.167,2.9400000000000002e-08
943,145Pm,794.6,1.71e-08
944,145Sm,1105.03,1.35e-08
945,145Sm,8786.2,9.6e-07
946,145Eu,716.0,4.900000000000001e-07
947,145Gd,27.3,1.15e-08
948,145Gd,749.1,85.0
949,145Gd,2200.1,2.04e-08
950,145Dy,118.2,14.1
951,145Er,253.0,0.9
952,146Eu,666.37,0.000235
953,146Eu,8649.0,1e-08
954,146Dy,2935.7,0.15
955,146Tm,182.0,0.198
956,147Pr,93.29,1.2000000000000002e-08
957,147Pm,649.14,2.7e-08
958,147Eu,625.27,7.65e-07
959,147Gd,997.1,2.14e-08
960,147Gd,3581.9,2.6800000000000002e-08
961,147Gd,8587.8,5.1e-07
962,147Tb,50.6,109.80000000000001
963,147Dy,750.5,55.2
964,147Dy,3407.2,4e-07
965,147Dy,3650.6,1.6e-08
966,147Ho,2687.1,3.15e-07
967,147Tm,68.0,0.00035999999999999997
968,148La,56.034,6.7e-08
969,148Pr,76.8,120.6
970,148Pm,137.9,3567456.0
971,148Sm,6694.32,3.2e-08
972,148Eu,720.4,1.6200000000000002e-07
973,148Gd,2694.67,1.6600000000000003e-08
974,148Tb,90.1,132.0
975,148Tb,109.6,8e-08
976,148Tb,1095.8,2.2000000000000002e-08
977,148Tb,8618.6,1.31e-06
978,148Dy,2832.2,6.5e-08
979,148Dy,2919.1,4.71e-07
980,148Er,2913.2,1.3e-05
981,149Pr,58.5,2.29e-08
982,149Pm,240.214,3.5e-05
983,149Eu,496.386,2.4500000000000003e-06
984,149Tb,35.78,249.60000000000002
985,149Dy,2661.1,0.49
986,149Dy,8520.5,2.8000000000000003e-08
987,149Ho,48.8,56.0
988,149Ho,2738.0,5.9000000000000006e-08
989,149Er,741.8,8.9
990,149Er,2611.1,6.1e-07
991,150Eu,41.7,46080.0
992,150Eu,588.81,4.5000000000000006e-08
993,150Tb,461.0,348.0
994,150Er,2733.3,2e-08
995,150Er,2796.5,2.5499999999999997e-06
996,150Er,7371.9,1.5000000000000002e-08
997,150Er,9508.6,4.3e-08
998,150Tm,671.3,0.005200000000000001
999,150Lu,22.0,3.9e-05
1000,151Pr,35.1,4.9999999999999996e-05
1001,151Sm,4.821,3.5e-08
1002,151Sm,91.532,7.800000000000001e-08
1003,151Sm,261.13,1.4e-06
1004,151Eu,196.245,5.8899999999999995e-05
1005,151Tb,99.53,25.0
1006,151Dy,6032.2,1.19e-08
1007,151Ho,41.0,47.2
1008,151Er,1140.35,1e-08
1009,151Er,2586.0,0.58
1010,151Er,10286.6,4.1999999999999995e-07
1011,151Tm,2655.67,4.51e-07
1012,151Tm,6908.5,2.4000000000000003e-08
1013,151Lu,53.0,1.6499999999999998e-05
1014,152Pm,150.0,451.2
1015,152Eu,45.5998,33521.76
1016,152Eu,65.2969,9.399999999999999e-07
1017,152Eu,77.2593,3.8e-08
1018,152Eu,78.2331,1.65e-07
1019,152Eu,89.8496,3.8400000000000005e-07
1020,152Eu,147.86,5748.0
1021,152Tb,342.15,9.6e-07
1022,152Tb,501.74,252.0
1023,152Dy,5088.1,6.000000000000001e-08
1024,152Ho,160.0,49.8
1025,152Ho,3019.59,8.4e-06
1026,152Ho,5997.9,4.7000000000000004e-08
1027,152Er,9711.8,3.5e-08
1028,152Er,13386.9,1.1000000000000001e-08
1029,152Yb,2744.5,2.9999999999999997e-05
1030,153Nd,191.71,1.1e-06
1031,153Sm,98.37,0.0106
1032,153Sm,182.902,1.7e-08
1033,153Eu,1771.0,4.75e-07
1034,153Gd,95.1736,3.5e-06
1035,153Gd,171.188,7.599999999999999e-05
1036,153Tb,163.175,0.000186
1037,153Ho,68.7,558.0
1038,153Ho,2772.0,2.2900000000000003e-07
1039,153Er,2798.2,3.73e-07
1040,153Er,2992.7,1e-08
1041,153Er,3939.5,1e-08
1042,153Er,5248.1,2.48e-07
1043,153Tm,43.2,2.5
1044,153Lu,2502.5,1e-07
1045,153Lu,2632.9,1.4999999999999999e-05
1046,154Nd,1297.9,3.2e-06
1047,154Eu,68.1702,2.2e-06
1048,154Eu,82.82,2e-08
1049,154Eu,100.8612,5.4e-08
1050,154Eu,145.3,2778.0
1051,154Gd,2137.48,6.8e-08
1052,154Er,3025.0,3.9000000000000005e-08
1053,154Yb,2046.2,2.8000000000000003e-08
1054,154Yb,4479.1,1.86e-08
1055,154Lu,59.0,1.12
1056,155Sm,16.547,2.8e-06
1057,155Sm,538.4,1e-06
1058,155Gd,121.05,0.03197
1059,155Dy,132.195,5.1e-08
1060,155Dy,234.33,6e-06
1061,155Ho,141.97,0.00088
1062,155Er,563.22,3.48e-08
1063,155Tm,41.0,45.0
1064,155Lu,20.0,0.138
1065,155Lu,1781.0,0.00269
1066,156Nd,1431.3,3.6e-07
1067,156Sm,1397.55,1.85e-07
1068,156Eu,87.4897,1.2000000000000002e-08
1069,156Gd,2137.6,1.3e-06
1070,156Tb,49.63,4.9e-08
1071,156Tb,88.4,19080.0
1072,156Ho,52.37,9.5
1073,156Ho,170.0,456.0
1074,156Ho,117.58,5.8e-08
1075,156Hf,1959.0,0.0005200000000000001
1076,156Ta,102.0,0.36
1077,157Gd,63.917,4.6e-07
1078,157Gd,426.6,1.85e-05
1079,157Dy,161.99,1.3e-06
1080,157Dy,199.38,0.0216
1081,157Ho,53.048,2e-08
1082,157Er,155.4,0.076
1083,157Yb,529.3,4.5000000000000006e-08
1084,157Lu,26.0,4.79
1085,157Hf,2875.4,5.2e-08
1086,157Ta,22.0,0.0043
1087,157Ta,1589.0,0.0017
1088,158Sm,1279.3,7.4e-08
1089,158Tb,110.3,10.7
1090,158Tb,388.4,0.0004
1091,158Ho,67.199,1680.0
1092,158Ho,156.9,2.9e-08
1093,158Ta,141.0,0.0367
1094,158Ta,2809.0,6.099999999999999e-06
1095,158W,1888.0,0.00014299999999999998
1096,159Sm,1276.8,1.1500000000000001e-07
1097,159Gd,67.829,2.62e-08
1098,159Dy,352.77,0.000122
1099,159Ho,205.91,8.3
1100,159Er,182.602,3.37e-07
1101,159Er,429.05,5.9e-07
1102,159Tm,166.17,3.7500000000000005e-08
1103,159Ta,64.0,0.56
1104,160Sm,1361.3,1.2000000000000002e-07
1105,160Tb,63.6855,6.000000000000001e-08
1106,160Ho,59.98,18072.0
1107,160Ho,107.27,4.8000000000000006e-08
1108,160Ho,118.441,5.6000000000000005e-08
1109,160Ho,197.0,3.0
1110,160Tm,70.9,74.5
1111,160Tm,174.38,1.7e-08
1112,160Re,184.0,2.8e-06
1113,161Dy,25.65136,2.9100000000000002e-08
1114,161Dy,485.7,7.599999999999999e-07
1115,161Ho,211.15,6.76
1116,161Er,189.42,8.400000000000001e-08
1117,161Er,396.44,7.499999999999999e-06
1118,161Tm,78.2,1.1e-07
1119,161Hf,329.0,4.8e-06
1120,161Re,123.8,0.0147
1121,162Dy,2187.9,8.3e-06
1122,162Ho,105.87,4020.0
1123,162Er,2026.7,8.800000000000001e-08
1124,162Re,173.0,0.077
1125,163Ho,297.88,1.09
1126,163Ho,1506.4,4.1e-08
1127,163Ho,2109.4,8e-07
1128,163Er,445.5,5.8e-07
1129,163Tm,86.92,3.7999999999999996e-07
1130,163Tm,164.69,4.3e-08
1131,163Tm,290.3,4.3e-08
1132,163Yb,58.1,1e-08
1133,163Yb,99.2,1e-08
1134,163Yb,124.0,1e-08
1135,163W,480.3,1.54e-07
1136,163Re,115.0,0.214
1137,164Sm,1485.5,6e-07
1138,164Ho,139.77,2250.0
1139,164Er,1984.98,2.3e-08
1140,164Er,3378.2,6.8e-08
1141,165Dy,108.1552,75.41999999999999
1142,165Ho,361.675,1.5119999999999999e-06
1143,165Er,551.3,2.5e-07
1144,165Er,1823.0,3.7e-07
1145,165Tm,80.37,7.999999999999999e-05
1146,165Tm,160.47,9e-06
1147,165Yb,126.8,3.0000000000000004e-07
1148,165Re,48.0,1.74
1149,166Gd,1601.5,9.5e-07
1150,166Ho,190.9021,0.000185
1151,166Lu,34.37,84.6
1152,166Lu,43.0,127.2
1153,166Lu,83.5,9.2e-08
1154,166Ir,172.0,0.0151
1155,167Ho,259.34,6e-06
1156,167Er,207.801,2.269
1157,167Tm,179.48,1.16e-06
1158,167Tm,292.82,9e-07
1159,167Yb,188.754,2.3e-08
1160,167Yb,571.548,1.8000000000000002e-07
1161,167Os,435.1,6.720000000000001e-07
1162,167Ir,175.3,0.03
1163,168Ho,143.43,4e-06
1164,168Ho,192.57,1.08e-07
1165,168Er,1094.0383,1.0900000000000001e-07
1166,168Yb,1998.74,8.2e-08
1167,168Yb,2222.37,6.2e-08
1168,168Lu,202.81,402.0
1169,169Ho,1386.2,0.000118
1170,169Er,92.05,2.85e-07
1171,169Er,243.69,2.0000000000000002e-07
1172,169Tm,316.14633,6.599e-07
1173,169Tm,379.26678,5.2200000000000004e-08
1174,169Yb,24.1999,46.0
1175,169Lu,29.0,160.0
1176,169Hf,28.8,8.2e-08
1177,169Ta,180.1,1.7e-08
1178,169Ta,219.72,2.8000000000000003e-08
1179,169Ir,153.0,0.281
1180,170Ho,120.0,43.0
1181,170Er,1268.69,4.2000000000000006e-08
1182,170Tm,183.197,4.1199999999999995e-06
1183,170Yb,1258.46,3.7e-07
1184,170Lu,92.91,0.67
1185,170Hf,2183.8,2.3e-08
1186,170Au,275.0,0.000617
1187,171Er,198.6,2.1e-07
1188,171Tm,424.956,2.6e-06
1189,171Tm,1674.5,1.6999999999999998e-06
1190,171Yb,95.282,0.00525
1191,171Yb,122.416,2.65e-07
1192,171Lu,71.13,79.0
1193,171Lu,208.15,2.97e-08
1194,171Hf,21.93,29.5
1195,171Hf,49.57,6.4e-08
1196,171Hf,1984.8,1.8000000000000002e-08
1197,171Ta,236.29,4.6e-08
1198,171Pt,412.6,9.01e-07
1199,171Au,250.0,0.001014
1200,172Er,1263.5,3.95e-08
1201,172Er,1500.9,5.699999999999999e-07
1202,172Tm,476.2,0.00013199999999999998
1203,172Yb,1550.43,3.6e-06
1204,172Lu,41.86,222.0
1205,172Lu,65.79,3.32e-07
1206,172Lu,109.41,0.00043999999999999996
1207,172Lu,213.57,1.5000000000000002e-07
1208,172Hf,2005.84,1.6300000000000002e-07
1209,172Ir,139.0,2.0
1210,173Tm,317.73,1.04e-05
1211,173Tm,1905.7,2.5000000000000004e-07
1212,173Tm,2061.1,1.52e-08
1213,173Tm,4047.9,1.21e-07
1214,173Yb,398.9,2.8999999999999998e-06
1215,173Lu,123.672,7.42e-05
1216,173Hf,107.16,1.8000000000000002e-07
1217,173Hf,197.47,1.6e-07
1218,173Hf,1982.1,1.9500000000000003e-08
1219,173Ta,173.1,2.2500000000000002e-07
1220,173Ta,198.16,1.35e-08
1221,173Ta,1719.4,1.3200000000000002e-07
1222,173W,85.37,1.4000000000000001e-08
1223,173W,148.0,1.31e-06
1224,173Os,141.2,2.8000000000000003e-08
1225,173Ir,226.0,2.2
1226,173Au,214.0,0.012199999999999999
1227,174Er,1111.5,4.02
1228,174Tm,191.5,1.52e-08
1229,174Tm,252.4,2.29
1230,174Tm,496.7,1.04e-08
1231,174Tm,2091.7,0.00010609999999999999
1232,174Yb,1518.148,0.00083
1233,174Yb,1765.2,2.56e-07
1234,174Yb,3698.8,5.5e-08
1235,174Yb,6146.6,2.84e-08
1236,174Lu,170.83,12268800.0
1237,174Lu,240.818,3.9500000000000003e-07
1238,174Lu,365.183,1.4500000000000001e-07
1239,174Lu,1855.7,1.9400000000000002e-07
1240,174Lu,2062.5,3.8e-08
1241,174Lu,4068.6,9.700000000000001e-08
1242,174Lu,5849.6,2.42e-07
1243,174Hf,1549.3,1.3800000000000002e-07
1244,174Hf,1797.5,2.39e-06
1245,174Hf,3311.7,3.7e-06
1246,174W,1672.0,1.8700000000000002e-07
1247,174W,1919.7,1.8700000000000002e-07
1248,174W,2267.8,1.58e-07
1249,174W,3515.6,1.28e-07
1250,174Ir,193.0,4.9
1251,175Tm,440.0,3.1900000000000004e-07
1252,175Tm,946.7,4.44e-08
1253,175Tm,1517.7,2.1e-05
1254,175Yb,514.866,0.06820000000000001
1255,175Lu,353.48,1.49e-06
1256,175Lu,626.53,1.06e-08
1257,175Lu,1392.2,0.0009839999999999998
1258,175Hf,125.89,5.37e-05
1259,175Hf,1433.41,1.1e-06
1260,175Hf,3015.6,1.2099999999999998e-06
1261,175Hf,4636.2,2.8e-06
1262,175Ta,131.41,2.22e-07
1263,175Ta,339.2,1.7000000000000001e-07
1264,175Ta,1567.6,1.95e-06
1265,175W,104.03,4.5000000000000006e-08
1266,175W,234.96,2.16e-07
1267,175Re,1793.8,2.77e-08
1268,175Os,105.7,1e-08
1269,175Hg,494.0,3.4000000000000003e-07
1270,176Yb,1049.8,11.4
1271,176Lu,122.845,13190.4
1272,176Lu,194.358,3.5e-08
1273,176Lu,1514.5,3.1200000000000004e-07
1274,176Lu,1587.5,3.9999999999999996e-05
1275,176Hf,1333.07,9.6e-06
1276,176Hf,1559.31,9.9e-06
1277,176Hf,2865.8,0.000401
1278,176Hf,4376.6,3.4e-08
1279,176Hf,4863.5,4.4999999999999996e-05
1280,176Ta,100.2,3.05e-08
1281,176Ta,103.0,0.0011
1282,176W,3747.0,4.1e-08
1283,176W,4894.7,1e-08
1284,177Yb,331.5,6.41
1285,177Lu,150.3967,1.3e-07
1286,177Lu,569.7068,0.000155
1287,177Lu,761.7001,3.2799999999999996e-08
1288,177Lu,970.175,13862016.0
1289,177Lu,1356.878,1.11e-08
1290,177Lu,2771.6,6.25e-07
1291,177Lu,3530.3,6.9e-06
1292,177Hf,1315.4504,1.09
1293,177Hf,1342.38,5.59e-05
1294,177Hf,2740.02,3084.0
1295,177Ta,70.59,7.02e-08
1296,177Ta,73.36,4.1000000000000004e-07
1297,177Ta,186.15,3.62e-06
1298,177Ta,487.62,2.6e-08
1299,177Ta,1355.01,5.309999999999999e-06
1300,177Ta,2826.46,2.3e-08
1301,177Ta,2852.7,4.6e-08
1302,177Ta,4656.3,0.000133
1303,177W,101.17,3.8e-08
1304,177W,185.96,1.3e-08
1305,177Re,84.71,4.9999999999999996e-05
1306,177Os,152.3,4e-08
1307,177Os,300.6,4.63e-08
1308,177Pt,147.4,2.2e-06
1309,177Hg,323.0,1.5e-06
1310,177Tl,807.0,0.00022999999999999998
1311,178Lu,123.8,1386.0
1312,178Hf,1147.416,4.0
1313,178Hf,1553.997,7.75e-08
1314,178Hf,2446.09,977616000.0
1315,178Hf,2572.4,6.8e-05
1316,178W,3654.93,3.0000000000000004e-08
1317,178W,5313.7,6.4e-08
1318,178W,6572.7,2.2e-07
1319,179Lu,592.4,0.0031000000000000003
1320,179Hf,375.0352,18.67
1321,179Hf,1105.74,2164320.0
1322,179Hf,2549.6,3.0000000000000004e-08
1323,179Hf,3439.2,1.2000000000000002e-08
1324,179Hf,3775.2,1.4999999999999999e-05
1325,179Ta,30.7,1.42e-06
1326,179Ta,238.56,6.5e-08
1327,179Ta,520.23,2.8e-07
1328,179Ta,627.98,8e-08
1329,179Ta,1252.6,3.22e-07
1330,179Ta,1317.2,0.009000000000000001
1331,179Ta,1328.0,1.6e-06
1332,179Ta,2639.5,0.0541
1333,179Ta,2792.8,1.7e-08
1334,179Ta,5391.8,5.3000000000000005e-08
1335,179W,221.91,384.0
1336,179W,1631.9,3.9e-07
1337,179W,3348.41,7.5e-07
1338,179Re,65.35,9.499999999999999e-05
1339,179Re,1202.2,2.1000000000000003e-08
1340,179Re,5408.0,0.00046600000000000005
1341,179Os,145.41,5e-07
1342,179Os,243.0,7.83e-07
1343,179Au,89.5,3.28e-07
1344,179Hg,171.4,6.4e-06
1345,180Lu,13.9,1.0
1346,180Lu,624.0,0.001
1347,180Hf,1141.5,19692.0
1348,180Hf,1374.15,5.699999999999999e-07
1349,180Hf,2425.8,1.4999999999999999e-05
1350,180Hf,2486.3,9.999999999999999e-06
1351,180Hf,2538.3,9.999999999999999e-06
1352,180Hf,3599.3,8.999999999999999e-05
1353,180Ta,77.1,3.78432e+22
1354,180Ta,107.85,1.92e-08
1355,180Ta,177.65,7e-08
1356,180Ta,356.68,4.2000000000000006e-08
